甘肃移动,#genre#
神乐影院原,http://maomao.kandiantv.cn/douyu1.php?id=122402
可乐影院原,http://maomao.kandiantv.cn/douyu1.php?id=20415
小宇帧原,http://maomao.kandiantv.cn/douyu1.php?id=323876
恐怖惊悚原,http://maomao.kandiantv.cn/douyu1.php?id=96577
電影劇場原,http://maomao.kandiantv.cn/douyu1.php?id=7575350
國語電影原,http://maomao.kandiantv.cn/douyu1.php?id=2436390
豆瓣高分原,http://maomao.kandiantv.cn/douyu1.php?id=8770422
花卷陪看原,http://maomao.kandiantv.cn/douyu1.php?id=52787
漫威剧情原,http://maomao.kandiantv.cn/douyu1.php?id=6140589
霍格沃茨原,http://maomao.kandiantv.cn/douyu1.php?id=8814650
鱼宝恐怖原,http://maomao.kandiantv.cn/douyu1.php?id=1165374
鬼片恐怖原,http://maomao.kandiantv.cn/douyu1.php?id=2935323
小鬼片原,http://maomao.kandiantv.cn/douyu1.php?id=96577
菜园惊险原,http://maomao.kandiantv.cn/douyu1.php?id=1735337
吃奶滴虫原,http://maomao.kandiantv.cn/douyu1.php?id=263824
变种人片原,http://maomao.kandiantv.cn/douyu1.php?id=9651304
喜剧电影原,http://maomao.kandiantv.cn/douyu1.php?id=9292492
女神电影原,http://maomao.kandiantv.cn/douyu1.php?id=747764
华语经典原,http://maomao.kandiantv.cn/douyu1.php?id=434971
避风影院原,http://maomao.kandiantv.cn/douyu1.php?id=9826611
星星影院原,http://maomao.kandiantv.cn/douyu1.php?id=315131
欧美大片原,http://maomao.kandiantv.cn/douyu1.php?id=2793084
贝爷影厅原,http://maomao.kandiantv.cn/douyu1.php?id=252802
译制国语原,http://maomao.kandiantv.cn/douyu1.php?id=2436390
绍兴影院另,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
央视频道,#genre#
CCTV1,http://jscbn.ws-cdn.gitv.tv/gitv_escape/G_CCTV-1-HQ/G_CCTV-1-HQ.m3u8?k=d4f540521dbf02a7d7bab73f2f5b121e&t=1706162416 
CCTV2,http://jscbn.ws-cdn.gitv.tv/gitv_escape/G_CCTV-2-HQ/G_CCTV-2-HQ.m3u8?k=20c111f02cc0e9c71eb6b6be7f48e9a3&t=1706162416
CCTV3,http://jscbn.ws-cdn.gitv.tv/gitv_escape/G_CCTV-3-HQ/G_CCTV-3-HQ.m3u8?k=349410c2bea4d6d2341a9314861ef3d7&t=1706164663 
CCTV4,http://jscbn.ws-cdn.gitv.tv/gitv_escape/G_CCTV-4-HQ/G_CCTV-4-HQ.m3u8?k=4b2e4d49bbe3ed7cc6b74c1c101c1e4f&t=1706163024 
CCTV5,http://jscbn.ws-cdn.gitv.tv/gitv_escape/G_CCTV-5-HQ/G_CCTV-5-HQ.m3u8?k=bde33cf73085b1bf726d6d1f88ca4cad&t=1706164663 
CCTV6,http://jscbn.ws-cdn.gitv.tv/gitv_escape/G_CCTV-6-HQ/G_CCTV-6-HQ.m3u8?k=0aac1eb181fc664b1ecb8e0cbc4cd769&t=1706164663 
CCTV7,http://jscbn.ws-cdn.gitv.tv/gitv_escape/G_CCTV-7-HQ/G_CCTV-7-HQ.m3u8?k=bad6d13d3a1d1b0b8ab9a3a51190a7df&t=1706162416 
CCTV8,http://jscbn.ws-cdn.gitv.tv/gitv_escape/G_CCTV-8-HQ/G_CCTV-8-HQ.m3u8?k=27387a082ebff4a49ff7ac97bfba514f&t=1706164663 
CCTV9,http://jscbn.ws-cdn.gitv.tv/gitv_escape/G_CCTV-9-HQ/G_CCTV-9-HQ.m3u8?k=e500b979e97b9f86736946123e4b8472&t=1706163024 
CCTV10,http://jscbn.ws-cdn.gitv.tv/gitv_escape/G_CCTV-10-HQ/G_CCTV-10-HQ.m3u8?k=36e333c89e223d89fffef58576d92fda&t=1706164162 
CCTV11,http://jscbn.ws-cdn.gitv.tv/gitv_escape/G_CCTV-11-HQ/G_CCTV-11-HQ.m3u8?k=aa586c11beb04b1c41e0c652e49cef7b&t=1706164162 
CCTV12,http://jscbn.ws-cdn.gitv.tv/gitv_escape/G_CCTV-12-HQ/G_CCTV-12-HQ.m3u8?k=855240f4738338dba427953abb2204cd&t=1706167793 
CCTV13,http://jscbn.ws-cdn.gitv.tv/gitv_escape/G_CCTV-13-HQ/G_CCTV-13-HQ.m3u8?k=115b58be53b0efeb6c057d6b9463fe58&t=1706167793 
CCTV14,http://jscbn.ws-cdn.gitv.tv/gitv_escape/G_CCTV-14-HQ/G_CCTV-14-HQ.m3u8?k=f493dc788eacd478508bca40ab37d60b&t=1706169557 
CCTV15,http://jscbn.ws-cdn.gitv.tv/gitv_escape/G_CCTV-15-HQ/G_CCTV-15-HQ.m3u8?k=4cdc681b48489acfc2d0cdd383912ad7&t=1706169557 
CCTV16,http://jscbn.ws-cdn.gitv.tv/gitv_escape/G_CCTV-16-HQ/G_CCTV-16-HQ.m3u8?k=57d00e3a30186deabc3695ba88c93f89&t=1706169557 
CCTV17,http://jscbn.ws-cdn.gitv.tv/gitv_escape/G_CCTV-17-HQ/G_CCTV-17-HQ.m3u8?k=a3424349c078f6045604829ab55d78a8&t=1706169557
